id,name,slug,symbol,market_cap
1,Bitcoin,bitcoin,BTC,1307875274663.0676
1027,Ethereum,ethereum,ETH,231913770679.62668
1839,BNB,bnb,BNB,80716455764.77113
52,XRP,xrp,XRP,64923928331.28585
5426,Solana,solana,SOL,44585460456.6524
1958,TRON,tron,TRX,31301388014.60466
32196,Hyperliquid,hyperliquid,HYPE,13777240158.71169
74,Dogecoin,dogecoin,DOGE,10924792228.924192
38341,Rain,rain,RAIN,9025510227.29322
1437,Zcash,zcash,ZEC,8801137355.135826
328,Monero,monero,XMR,7255639519.24783
2010,Cardano,cardano,ADA,7210102535.401787
1975,Chainlink,chainlink,LINK,6206400111.268062
512,Stellar,stellar,XLM,5606407465.519161
1831,Bitcoin Cash,bitcoin-cash,BCH,4359318228.064484
37263,Canton,canton-network,CC,3906622666.5600805
11419,Gram (prev. Toncoin),gram,GRAM,3685892389.3198204
2,Litecoin,litecoin,LTC,3587350440.573033
33793,Global Dollar,global-dollar-usdg,USDG,3482166381.959355
4642,Hedera,hedera,HBAR,3021672529.7426853
20947,Sui,sui,SUI,2831269327.530164
27772,PayPal USD,paypal-usd,PYUSD,2798470014.17002
5805,Avalanche,avalanche,AVAX,2795171053.6980095
5994,Shiba Inu,shiba-inu,SHIB,2721318009.8795714
5176,Tether Gold,tether-gold,XAUT,2656338362.9800787
7083,Uniswap,uniswap,UNI,2501652945.7666674
22974,Bittensor,bittensor,TAO,2339140049.4213867
3635,Cronos,cronos,CRO,2314053040.8279943
6535,NEAR Protocol,near-protocol,NEAR,2116690015.1730835
4705,PAX Gold,pax-gold,PAXG,1899487930.4921558
21159,Ondo,ondo-finance,ONDO,1706186890.2268403
33251,World Liberty Financial,world-liberty-financial-wlfi,WLFI,1640439009.1062763
36341,Aster,aster,ASTER,1626195411.5022173
29160,HTX,htx,HTX,1617510478.8687305
7278,Aave,aave,AAVE,1409983399.1947062
27075,Mantle,mantle,MNT,1403646670.5481212
6636,Polkadot,polkadot-new,DOT,1371382272.058822
33038,Sky,sky,SKY,1265169943.2606916
8916,Internet Computer,internet-computer,ICP,1213967960.196055
39120,United Stables,united-stables,U,1209785961.7257745
24478,Pepe,pepe,PEPE,1193814387.0938997
13502,Worldcoin,worldcoin-org,WLD,1126274313.5925052
38837,Audiera,audiera,KBEAT,1117687905.6354637
36507,Pump.fun,pump-fun,PUMP,1057041042.2088686
1321,Ethereum Classic,ethereum-classic,ETC,1026952247.0284568
34104,Morpho,morpho,MORPHO,995370599.4788796
2087,KuCoin Token,kucoin-token,KCS,921515938.534854
30171,Ethena,ethena,ENA,860678204.5089899
5488,JUST,just,JST,851414271.9495866
38892,Stable,stable,STABLE,823433442.1865422
28321,Polygon (prev. MATIC),polygon-ecosystem-token,POL,821604211.3078955
4030,Algorand,algorand,ALGO,777461297.5341109
20396,Kaspa,kaspa,KAS,734828772.7166439
3987,Beldex,beldex,BDX,722177929.491495
3794,Cosmos,cosmos,ATOM,719607663.5295118
3155,Quant,quant,QNT,710318633.6587893
29210,Jupiter,jupiter-ag,JUP,614343606.2682637
39125,Lighter,lighter,LIT,584615120.9415683
2280,Filecoin,filecoin,FIL,580205093.526766
2634,XDC Network,xdc-network,XDC,566456508.2124232
